AADT_mean_x,AADT_Single_Unit_mean_x,AADT_Combination_mean_x,Future_AADT_mean_x,IRI_mean_x,Thickness_Rigid_mean_x,Thickness_Flexible_mean_x,Base_Thickness_mean_x,F_System_mode,Urban_Type,Surface_Type_mode,Base_Type_mode_x,Rutting_mean_x,Cracking_Percent_mean_x,Faulting_mean_x,Last_Overlay_Thickness_mean_x,IRI_mean_y,RHU_AV_x,FRZ_IDX_x,TEMP_AVG_x,PRECIPITATION_x,Age_x
55866,1006,13184,56194,101.7,11,0,16,1,urban,3,2,0,10.7,0.1,0,110.7,76,433.6,9.5,1045.2,27
61362,1104,13867,61735,83,11,0,16,1,urban,3,2,0,0,0,0,91,76,433.6,9.5,1045.2,7
5752,122,236,5736,38.8,0,4.5,24,3,rural,2,2,0.1,0,0,0,48,78.2,662.7,7,977.8,3
5752,122,236,5736,37.4,0,6.5,24,3,rural,2,2,0.1,0,0,0,46.5,78.2,662.7,7,977.8,3
2587,115,214,2582,37.4,0,3.5,24,3,rural,2,2,0.1,0,0,0,40.3,78.5,786.2,6.4,961.4,6
44223,1149,6190,44300,70.3,12,0,16,1,rural,3,2,0,0,0,0,73.7,77.3,328.5,9.7,1104.3,8
44738,805,2282,44786,82,9,0,16,2,urban,3,2,0,0,0,0,98,76,433.6,9.5,1045.2,17
44738,805,2282,44786,81.3,9,0,16,2,urban,3,2,0,0,0,0,90.2,76,433.6,9.5,1045.2,17
1874,43,194,1878,33.5,0,6.5,24,3,rural,2,2,0.2,0,0,0,45.8,83.3,948.7,4.7,1102.4,4
75873,1062,8043,75912,69,11,0,16,1,urban,3,2,0,0,0,0,79,75.9,543.9,8.5,1020,2
64356,1030,7336,64226,36.2,11,0,16,1,urban,3,2,0,0,0,0,48.2,75.9,543.9,8.5,1020,11
57000,912,6840,57079,32,11,0,16,1,urban,3,2,0,0,0,0,40,75.9,543.9,8.5,1020,11
57000,912,6840,57078,35.7,11,0,16,1,urban,3,2,0,0,0,0,43.5,75.9,543.9,8.5,1020,11
46417,720,5433,46489,38.8,10,0,16,1,urban,3,2,0,1.7,0,0,48.5,75.9,543.9,8.5,1020,11
79356,1586,4443,79381,69.2,9,0,16,1,urban,3,2,0,0,0.1,0,74.5,75.9,543.9,8.5,1020,14
73969,1480,4291,74087,65.1,9,0,16,1,urban,3,2,0,0.7,0.1,0,69,75.9,543.9,8.5,1020,14
11361,181,841,11383,57.8,9,0,16,2,rural,3,2,0,0,0,0,64.8,78,403.4,8.4,1017.9,6
3771,68,207,3786,71.4,0,5.5,24,3,rural,2,2,0.2,0,0,0,80,79.2,974.3,5.5,982.8,8
107118,2142,5999,107221,93,9,0,16,2,urban,3,2,0,0,0.1,0,99,76.3,457,9.1,1050.3,16
101622,2134,5896,101713,62.7,9,0,16,2,urban,3,2,0,0,0,0,95,76.3,457,9.1,1050.3,16
194623,3892,11095,194692,50,13,0,16,1,urban,3,2,0,0,0,0,64.6,76.3,457,9.1,1050.3,1
18978,369,1954,19069,34.9,0,8,24,2,rural,2,2,0.1,0,0,0,45.6,77.3,328.5,9.7,1104.3,8
18978,369,1954,19069,35.7,0,8,24,2,urban,2,2,0.1,0,0,0,44.3,77.3,328.5,9.7,1104.3,8
15723,315,881,15772,33,0,5,24,2,rural,2,2,0.1,0,0,0,65.5,77.8,705.5,7.1,1055.9,2
6352,219,59,6364,96,0,3.3,15,5,rural,2,2,0.1,0,0,2,194,76,896.3,7.3,979.6,14
17533,211,614,17471,98.5,9,0,16,3,urban,3,2,0,0,0.1,0,112,76.4,504.3,8.3,963.7,8
